NTRDBT,JOINT,ORGD1FPRSE,PRFILE,SUCCESS,DISTSUCCESS,FEEP,FEEI,FEEW,REALPROPNULL,REALPROPNONE,REALPROPVALUE,REALPROPVALUESQR,REALPROPVALUELOG,PERSPROPNULL,PERSPROPVALUE,PERSPROPVALUESQR,PERSPROPVALUELOG,UNSECNPRNULL,UNSECNPRVALUE,UNSECNPRVALUESQR,UNSECNPRVALUELOG,UNSECEXCESS,UNSECPRNULL,UNSECPRVALUE,UNSECPRVALUESQR,UNSECPRVALUELOG,AVGMNTHINULL,AVGMNTHIVALUE,AVGMNTHIVALUESQR,AVGMNTHIVALUELOG,IEINDEX,IEGAP
0,0,0,0,1,0.6255,0,0,0,0,1,0,0,0,0,3500,12250000,8.1605,0,44924,2018165776,10.7127,0,0,0,0,0,0,2574,6625476,7.8532,1.0729,175
0,0,1,1,0,0.298,0,1,0,0,0,750000,5.625E+11,13.5278,0,0,0,0,0,19000,361000000,9.8522,0,0,5000,25000000,8.5172,0,8000,64000000,8.9872,2.0445,4087
0,1,0,0,0,0.7035,0,0,0,0,0,241000,58081000000,12.3926,0,52460,2752051600,10.8678,0,28957,838507849,10.2736,0,0,10981,120582361,9.3039,0,5822.24,33898478.62,8.6694,1.1272,657.24
0,0,0,0,1,0.3525,0,0,0,0,0,196000,38416000000,12.1859,0,16455,270767025,9.7084,0,29989.26,899355715.3,10.3086,0,0,0,0,0,0,3322,11035684,8.1083,1.2433,650
0,1,0,0,0,0.3109,0,0,0,0,0,3000,9000000,8.0064,0,28800,829440000,10.2681,0,13347.1,178145078.4,9.4991,0,0,0,0,0,0,2202.94,4852944.644,7.6975,1.1564,297.94
0,0,0,0,0,0.331,0,1,0,0,0,34800,1211040000,10.4574,0,16525,273075625,9.7126,0,32918.81,1083648052,10.4018,0,0,0,0,0,0,2006,4024036,7.6039,0.7996,-502.83
0,1,0,0,0,0.3972,0,0,0,0,0,86000,7396000000,11.3621,0,54365,2955553225,10.9035,0,63213,3995883369,11.0543,0,0,0,0,0,0,4030.06,16241383.6,8.3015,0.9926,-29.94
0,0,0,0,0,0.5296,0,0,0,0,0,356000,1.26736E+11,12.7827,0,995,990025,6.9027,0,74716,5582480656,11.2214,0,0,30786,947777796,10.3348,0,7151,51136801,8.875,1.5944,2666
0,0,0,0,0,0.5296,0,0,0,0,1,0,0,0,0,7625,58140625,8.9392,0,34867,1215707689,10.4593,0,0,0,0,0,0,5592,31270464,8.6291,1.4311,1684.4
0,0,0,0,0,0.469,0,0,0,0,0,131340,17250195600,11.7855,0,17514.6,306761213.2,9.7708,0,35161,1236295921,10.4677,0,0,0,0,0,0,3193.59,10199017.09,8.0689,1.0013,4.18
0,0,0,0,1,0.5887,0,0,0,0,0,140000,19600000000,11.8494,0,32600,1062760000,10.3921,0,10786,116337796,9.286,0,0,0,0,0,0,7369.55,54310267.2,8.9051,3.5227,5277.55
0,0,1,1,0,0.5549,0,0,0,1,0,140000,19600000000,11.8494,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,1,0,0,0,0.4406,0,0,0,0,0,310000,96100000000,12.6443,0,22642,512660164,10.0276,0,174472.16,30440534615,12.0695,0,0,0,0,0,0,5437.82,29569886.35,8.6011,1.098,485.18
0,0,1,0,0,0.1699,0,0,0,1,0,140000,19600000000,11.8494,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,0,0,1,0,0.1635,0,0,0,0,1,0,0,0,0,123244.94,15189315236,11.7219,0,200427.48,40171174739,12.2082,0,0,40860,1669539600,10.6179,0,17347.34,300930205.1,9.7612,0.8132,-3985
0,0,0,0,0,0.469,0,0,0,0,0,18000,324000000,9.7981,0,13420,180096400,9.5045,0,25085.54,629284317.1,10.13,0,0,564,318096,6.3351,0,4448.19,19786394.28,8.4003,2.3216,2532.19
0,1,0,1,0,0.4406,0,0,0,0,0,210500,44310250000,12.2572,0,5750,33062500,8.657,0,30007,900420049,10.3092,0,0,5317.99,28281017.64,8.5789,0,4124.94,17015130,8.3248,1.1271,465.28
0,1,0,0,1,0.6421,0,0,0,0,0,400000,1.6E+11,12.8992,0,43045,1852872025,10.67,0,36216.79,1311655878,10.4973,0,0,0,0,0,0,5311.3,28209907.69,8.5776,1.1274,600.14
0,1,0,0,0,0.4293,0,0,0,0,0,130331,16986169561,11.7778,0,39250,1540562500,10.5777,0,40968.31,1678402424,10.6206,0,0,2085,4347225,7.6425,0,10941.67,119720142.4,9.3003,1.3118,2600.97
0,0,0,1,0,0.298,1,0,0,0,0,220000,48400000000,12.3014,0,19000,361000000,9.8522,0,9850,97022500,9.1952,0,0,0,0,0,0,4986.3,24863187.69,8.5144,1.0641,300.3
0,0,0,0,1,0.7035,0,0,0,0,0,160000,25600000000,11.9829,0,30833,950673889,10.3363,0,164822,27166291684,12.0126,0,0,2600,6760000,7.8633,0,3953,15626209,8.2822,1.2115,690
0,1,0,0,0,0.4523,0,0,0,0,0,72000,5184000000,11.1844,0,21790,474804100,9.9892,0,82674.63,6835094446,11.3227,0,0,26624.97,708889027.5,10.1896,0,5205.46,27096813.81,8.5575,1.1816,800
0,0,0,0,0,0.4455,0,0,0,0,1,0,0,0,0,16313,266113969,9.6997,0,1009,1018081,6.9167,0,0,3374,11383876,8.1239,0,2206.14,4867053.7,7.699,1.4233,656.14
0,0,0,0,0,0.4463,0,0,0,0,0,750000,5.625E+11,13.5278,0,4800,23040000,8.4764,0,0,0,0,0,0,0,0,0,0,8305,68973025,9.0246,1.2866,1850
0,0,0,0,0,0.5701,0,0,0,0,0,50000,2500000000,10.8198,0,4743.17,22497661.65,8.4645,0,29020.25,842174910.1,10.2757,0,0,2730,7452900,7.9121,0,1742.31,3035644.136,7.463,1.1656,247.55
0,0,0,0,1,0.5792,0,0,0,0,0,83107,6906773449,11.3279,0,9987.25,99745162.56,9.2091,0,2537,6436369,7.8387,0,0,0,0,0,0,4054.04,16435240.32,8.3075,1.1689,585.81
0,1,0,1,0,0.298,0,0,0,0,0,290000,84100000000,12.5776,0,129004.41,16642137799,11.7676,0,2024.71,4099450.584,7.6132,0,0,12877.97,165842111.3,9.4633,0,4904.43,24053433.62,8.4979,1.2432,959.43
0,1,0,0,0,0.4455,0,0,0,0,1,0,0,0,0,48245,2327580025,10.784,0,57909.42,3353500925,10.9666,0,0,5324,28344976,8.58,0,5929.03,35153396.74,8.6876,1.5354,2067.5
0,0,0,0,1,0.7439,0,1,0,0,0,129900,16874010000,11.7745,0,41342.5,1709202306,10.6296,0,2500,6250000,7.824,0,0,0,0,0,0,3884.26,15087475.75,8.2647,1.463,1229.26
0,0,0,0,1,0.5887,0,0,0,0,0,18000,324000000,9.7981,0,21500,462250000,9.9758,0,26906.41,723954899.1,10.2001,0,0,0,0,0,0,1921,3690241,7.5606,1.3519,500
0,1,0,0,1,0.5701,0,0,0,0,1,0,0,0,0,38135.8,1454339242,10.5489,0,36263.12,1315013872,10.4986,0,0,0,0,0,0,1450.13,2102877.017,7.2794,1.3837,402.13
0,1,0,0,1,0.597,0,0,0,0,0,69400,4816360000,11.1476,0,13300,176890000,9.4955,0,154250,23793062500,11.9463,0,0,0,0,0,0,5611.35,31487248.82,8.6325,1.1584,767.35
0,0,0,0,0,0.331,0,1,0,0,1,0,0,0,0,1153,1329409,7.0501,0,10541.04,111113524.3,9.263,0,0,5000,25000000,8.5172,0,1140.54,1300831.492,7.0393,1.1463,145.54
0,0,0,0,1,0.4686,0,0,0,0,1,0,0,0,0,8550,73102500,9.0537,0,97597.05,9525184169,11.4886,0,0,5604.69,31412550,8.6314,0,509.22,259305.0084,6.2329,0.7309,-187.45
0,0,0,0,0,0.4293,0,0,0,0,0,171380,29371104400,12.0516,0,27065,732514225,10.206,0,69590,4842768100,11.1504,0,0,2735,7480225,7.9139,0,3847.65,14804410.52,8.2552,1.7955,1704.65
0,0,1,0,0,0.5296,0,0,0,0,0,360000,1.296E+11,12.7939,0,36000,1296000000,10.4913,0,0,0,0,0,0,0,0,0,0,4900,24010000,8.497,1.4433,1505
0,1,0,0,0,0.5152,0,0,0,0,0,150000,22500000000,11.9184,0,74487.38,5548369779,11.2184,0,121364.62,14729370988,11.7066,0,0,0,0,0,0,3434.64,11796751.93,8.1417,0.6303,-2014.86
0,0,0,0,0,0.5514,0,0,0,0,1,0,0,0,0,10582,111978724,9.2669,0,34356,1180334736,10.4445,0,0,0,0,0,0,3401.66,11571290.76,8.132,1.0277,91.66
0,0,0,0,0,0.331,0,1,0,0,0,42500,1806250000,10.6573,0,1000,1000000,6.9078,0,0,0,0,0,0,19123.45,365706339.9,9.8587,0,1675,2805625,7.4236,1.4823,545
0,0,0,0,1,0.4463,0,0,0,0,0,499000,2.49001E+11,13.1204,0,50734,2573938756,10.8344,0,10837.15,117443820.1,9.2907,0,0,101533,10308950089,11.5281,0,8700,75690000,9.0711,1.0354,297.55
0,0,0,0,0,0.5514,0,0,0,0,0,130000,16900000000,11.7753,0,20009,400360081,9.9039,0,92746,8601820516,11.4376,0,0,0,0,0,0,2901.65,8419572.723,7.973,1.7141,1208.81
0,1,0,0,0,0.6028,0,0,0,0,0,157000,24649000000,11.964,0,11281,127260961,9.3309,0,85358,7285988164,11.3546,0,0,2260,5107600,7.7231,0,3086,9523396,8.0346,1.0936,264
0,0,0,0,1,0.6084,0,0,0,0,0,381000,1.45161E+11,12.8506,0,48307.76,2333639676,10.7853,0,68116.39,4639842587,11.129,0,0,2250,5062500,7.7187,0,5345.85,28578112.22,8.5841,1.1866,840.85
0,1,0,1,0,0.499,0,0,0,0,0,388750,1.51127E+11,12.8707,0,8950,80102500,9.0994,0,0,0,0,0,0,0,0,0,0,2972,8832784,7.997,1.9527,1450
