SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,CRNTCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT
9/30/2013,0,1,0,BK11261094134400,11,26,1,941344,0,0,,5/7/2009,5/7/2009,2009,2009,13,13,c,c,y,351500000,1121,n,n,,350440000,1121,n,n,,i,c,v,i,i,,n,B,B,C,C,A,A,y,y,,,86034.78,56500,29534.78,139983.23,132449.78,2287.76,5245.69,137695.47,2287.76,139983.23,2263.08,2128.33,1494.05,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2011,0,1,0,BK05414073820200,5,41,4,738202,0,0,,,12/1/2007,2007,2008,13,13,c,c,n,775040000,48201,n,n,12/1/2007,,,,,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,135022.65,100701,34321.65,121475.68,101683.29,2810,16982.39,16982.39,104493.29,121475.68,3581.47,2589.02,1167.69,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,1,0,BK07552082369900,7,55,2,823699,0,0,,,10/31/2008,2008,2009,13,13,c,c,n,464100000,18089,n,n,10/31/2008,,,,,,p,p,v,i,i,,y,A,A,A,A,A,A,y,y,,,4589,0,4589,15485.4,0,0,15485.4,0,15485.4,15485.4,1463.39,1489.43,1392.5,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2009,1,0,1,BK10875081489100,10,87,5,814891,0,0,,10/31/2008,10/31/2008,2008,2009,13,13,c,c,y,731650000,40027,n,n,,731650000,40027,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,n,,,186685,144000,42685,266355.14,182800,0,83555.14,266355.14,0,266355.14,7219.71,5254.33,4567,,10875089489100s,,,3.3.1,8/28/2009,2009,2009,13,n,K,3/3/2009,2009,2009,n,A,8/28/2009,2009,2009,,,3.3.1,N
9/30/2010,0,1,0,BK05365091033600,5,36,5,910336,0,0,,,2/4/2009,2009,2009,13,13,c,c,n,711180000,22017,n,n,,,,,,,p,p,v,i,i,,n,A,A,B,B,A,A,y,y,,,13546.25,0,13546.25,65246.86,1890,0,63356.86,65246.86,0,65246.86,2739.38,1832.02,1682.02,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2010,0,0,1,BK113E1097904500,11,3E,1,979045,0,0,,7/23/2009,7/23/2009,2009,2009,13,13,c,c,y,300390000,13135,n,n,,300390000,13135,n,n,,i,c,v,i,i,,y,C,C,D,D,A,A,y,y,,,477815,445000,32815,531599.46,517798.81,0,13800.65,0,531599.46,531599.46,4920,5814,4964,,,,,3.3.2,2/18/2010,2010,2010,13,n,H,9/15/2009,2009,2009,n,H,9/15/2009,2009,2009,,,3.3.2,N
9/30/2010,0,1,0,BK05401081045700,5,40,1,810457,0,0,,,8/22/2008,2008,2008,13,13,c,c,y,777080000,48245,n,n,8/22/2008,777080000,48245,n,n,8/22/2008,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,252880.52,187530,65350.52,248589.41,204435.42,3642,40511.99,247947.41,642,248589.41,7727.65,6221.74,5503,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,0,1,BK113G1081211000,11,3G,1,812110,0,0,,12/4/2008,12/4/2008,2008,2009,13,13,c,c,n,317050000,13095,n,n,12/4/2008,,,,,,p,p,v,i,i,,n,A,A,A,A,A,A,y,y,,,13160,0,13160,7819,5485,0,2334,7819,0,7819,378,2126.67,1897.5,,,,,3.3.3,1/10/2011,2011,2011,13,n,T,10/4/2010,2010,2011,,,,,,,,3.3.3,N
9/30/2008,1,0,1,BK09736081428300,9,73,6,814283,0,0,,,4/21/2008,2008,2008,13,13,c,c,n,923920000,6071,y,y,,,,,,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,0,,,0,,,,,,,,,,,,,,0.0.0,7/25/2008,2008,2008,13,y,I,,,,,,,,,,,0.0.0,N
9/30/2008,1,1,0,BK04222087006700,4,22,2,870067,0,0,,,1/9/2008,2008,2008,13,13,c,c,n,234640000,51810,n,n,1/9/2008,,,,,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,234667,220000,14667,228253,209525,295,18433,227958,295,228253,4269,4168,3853,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2013,0,1,0,BK08604091614100,8,60,4,916141,0,0,,8/26/2009,8/26/2009,2009,2009,13,13,c,c,n,720150000,5125,n,n,,,,,,,p,p,v,i,i,,n,A,A,B,B,A,A,y,y,,,43350,0,43350,80512.42,38000,400,42112.42,80112.42,400,80512.42,3241.11,3470.11,2134.6,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2011,0,1,0,BK113C9091235400,11,3C,9,912354,0,0,,2/11/2009,2/11/2009,2009,2009,13,13,c,c,y,349840000,12111,n,n,2/11/2009,349840000,12111,n,n,2/11/2009,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,172252.84,145000,27252.84,239594,188152,0,51442,239594,0,239594,5365.2,4383.2,4156,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2008,1,1,0,BK06481081262500,6,48,1,812625,0,0,,,5/15/2008,2008,2008,13,13,c,c,y,451500000,39025,n,n,5/15/2008,451500000,39025,n,n,5/15/2008,p,p,v,i,i,,y,C,C,C,C,A,A,y,y,,,132184,114000,18184,181237.07,173576.12,94,7566.95,181143.07,94,181237.07,5353.64,3754.25,3352,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2012,0,1,0,BK04224085093800,4,22,4,850938,0,0,,8/14/2008,8/14/2008,2008,2008,13,13,c,c,n,236080000,51700,n,n,8/14/2008,,,,,,p,p,v,i,i,,n,,A,,B,A,A,y,y,,,22191,0,22191,76010,12726,2470,60814,46389,29621,76010,4936.77,3701.16,3341.16,,,,,4.3.0,,,,,,,,,,,,,,,,,,N
9/30/2009,1,1,0,BK09732092836000,9,73,2,928360,0,0,,7/17/2009,7/17/2009,2009,2009,13,13,c,c,y,917730000,6037,n,n,,917730000,6037,n,n,,p,p,v,i,i,,n,C,C,D,D,A,A,y,y,,,494632,460000,34632,871146.49,551616.5,0,319529.99,871146.49,0,871146.49,5885,5885,5137,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2013,0,1,0,BK04194094043900,4,19,4,940439,0,0,,5/26/2009,5/26/2009,2009,2009,13,13,c,c,n,281509328,37045,n,n,,,,,,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,119625,105000,14625,126748,109907,0,16841,126748,0,126748,3775,2528,2145,,,,,4.2.0,,,,,,,,,,,,,,,,,,N
9/30/2012,0,1,0,BK113C9091145900,11,3C,9,911459,0,0,,,1/28/2009,2009,2009,13,13,c,c,y,334670000,12099,n,n,1/28/2009,334670000,12099,n,n,1/28/2009,p,p,v,i,i,,n,C,C,D,D,A,A,y,y,,,318978.6,287390,31588.6,592176.81,459539.97,0,132636.84,592176.81,0,592176.81,4267.63,6894.13,6720.4,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2008,1,1,0,BK07572072871800,7,57,2,728718,0,0,,,10/31/2007,2007,2008,13,7,c,c,y,534020000,55101,n,n,10/31/2007,534020000,55101,n,n,10/31/2007,p,p,v,i,i,,n,,C,,C,A,A,y,n,,,21406,0,21406,39596,8066,0,31530,39596,0,39596,6804.83,4255.71,4300,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2011,0,1,0,BK10875091392300,10,87,5,913923,0,0,,7/22/2009,7/22/2009,2009,2009,13,13,c,c,y,730717746,40027,n,n,,730717746,40027,n,n,,p,p,v,i,i,,n,C,C,C,C,A,A,y,y,,,237358.04,160000,77358.04,146841.51,83868.51,1500,61473,145341.51,1500,146841.51,4967.43,4089.27,2928.01,,,,,3.3.1,,,,,,,,,,,,,,,,,,N
9/30/2008,1,1,0,BK08654074695600,8,65,4,746956,0,0,,,10/19/2007,2007,2008,13,13,c,c,y,630340000,29189,n,n,10/19/2007,630340000,29189,n,n,10/19/2007,p,p,v,i,i,,n,,C,,C,C,C,y,y,,,196400,160000,36400,304135,156745,0,147390,,,,9553.65,6491.96,5072.25,,,,,0.0.0,,,,,,,,,,,,,,,,,,N
9/30/2015,0,0,1,BK02084093617200,2,8,4,936172,0,0,,5/6/2009,5/6/2009,2009,2009,13,13,c,c,y,125330000,36027,n,n,,125330000,36027,n,n,,p,p,v,i,i,,n,C,C,C,C,B,B,y,y,,,321695,231800,89895,370645,277642,0,93003,370645,0,370645,12085.25,7128.51,6695.33,,,,,5.1.0,5/1/2015,2015,2015,13,n,A,10/17/2014,2014,2015,n,A,10/17/2014,2014,2015,,,5.1.0,N
9/30/2012,0,1,0,BK09793083644900,9,79,3,836449,0,0,,11/24/2008,11/24/2008,2008,2009,13,13,c,c,y,970070000,41067,n,n,11/24/2008,970070000,41067,n,n,,p,p,v,i,i,,y,A,A,A,A,A,A,y,y,,,8825,0,8825,40280,5330,14410,20540,14417,25863,40280,5437,3582,3190,,,,,4.2.0,,,,,,,,,,,,,,,,,,N
